Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1617115376,10,,Aggregated,6.700000,0.000000,52,64,71,73,86,99,110,110,240,240,240,238,0,52,58.029411764705884,23,235,85.5798319327731
1617115377,10,,Aggregated,6.800000,0.000000,51,64,70,73,86,99,110,120,240,240,240,245,0,51,57.80408163265306,23,235,85.59183673469387
1617115378,10,,Aggregated,6.700000,0.000000,51,63,70,73,85,99,110,120,240,240,240,251,0,51,57.322709163346616,23,235,85.60557768924303
1617115379,10,,Aggregated,6.800000,0.000000,51,63,70,73,85,99,110,120,240,240,240,256,0,51,57.265625,23,235,85.6171875
1617115380,10,,Aggregated,6.700000,0.000000,51,63,70,73,85,98,110,120,240,240,240,265,0,51,57.22264150943396,23,235,85.64150943396227
1617115381,10,,Aggregated,6.600000,0.000000,51,63,69,73,83,98,110,120,240,240,240,272,0,51,56.955882352941174,23,235,85.6654411764706
1617115382,10,,Aggregated,7.000000,0.000000,51,62,69,73,83,98,110,120,240,240,240,278,0,51,56.73021582733813,23,235,85.68345323741008
1617115383,10,,Aggregated,6.900000,0.000000,51,62,69,73,83,98,110,120,240,240,240,286,0,51,56.74825174825175,23,235,85.67832167832168
1617115384,10,,Aggregated,6.700000,0.000000,51,62,68,73,83,98,110,120,240,240,240,290,0,51,56.641379310344824,23,235,85.69310344827586
1617115385,10,,Aggregated,6.900000,0.000000,51,62,68,72,83,98,110,120,240,240,240,296,0,51,56.263513513513516,23,235,85.6891891891892
1617115386,10,,Aggregated,6.500000,0.000000,51,61,67,71,82,98,100,110,240,240,240,303,0,51,55.914191419141915,23,235,85.65676567656766
1617115387,10,,Aggregated,6.400000,0.000000,51,60,67,71,82,98,100,110,240,240,240,310,0,51,55.73870967741936,23,235,85.64516129032258
1617115388,10,,Aggregated,6.500000,0.000000,51,59,67,71,82,98,100,110,240,240,240,316,0,51,55.528481012658226,23,235,85.65189873417721
1617115389,10,,Aggregated,6.500000,0.000000,51,59,67,71,81,92,100,110,240,240,240,322,0,50,55.32608695652174,23,235,85.65527950310559
