Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/dev/sentiments/tweet,381,0,50,54.53805774278215,23,235,85.68503937007874,6.449276290896225,0.0,50,57,66,69,79,92,100,110,240,240,240
,Aggregated,381,0,50,54.53805774278215,23,235,85.68503937007874,6.449276290896225,0.0,50,57,66,69,79,92,100,110,240,240,240
